Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
RNA_19	RNA_19	tRNA-Arg	TX50_RS08575	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
hisF	PMM0430	imidazole glycerol phosphate synthase subunit HisF	TX50_RS02320	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // L-histidine biosynthesis	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
RNA_25	RNA_25	tRNA-Ser	TX50_RS04795	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1033	PMM1033	GTP-binding protein	TX50_RS05555		
RNA_34	RNA_34	tRNA-Phe	TX50_RS01605	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
pgi	PMM0890	glucose-6-phosphate isomerase	TX50_RS04755	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // sucrose degradation III (sucrose invertase) // GDP-mannose biosynthesis // gluconeogenesis I // sucrose biosynthesis I (from photosynthesis)	Carbohydrate Biosynthesis // Carbohydrate Degradation // Superpathways
RNA_14	RNA_14	tRNA-Gln	TX50_RS08355	tRNA charging // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // tRNA processing	Aminoacyl-tRNA Charging // Metabolic Clusters // Nucleic Acid Processing
menE	PMM0174	O-succinylbenzoate-CoA ligase	TX50_RS00905	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
RNA_27	RNA_27	tRNA-Met	TX50_RS04395	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
guaA	PMM0037	glutamine-hydrolyzing GMP synthase	TX50_RS00200	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis // L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent)	Superpathways // Nucleoside and Nucleotide Biosynthesis // Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
RNA_2	RNA_2	tRNA-Leu	TX50_RS01225	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
purU	PMM1702	formyltetrahydrofolate deformylase	TX50_RS09085	formaldehyde oxidation VII (THF pathway)	C1 Compound Utilization and Assimilation
RNA_21	RNA_21	tRNA-Gly	TX50_RS07100	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1572	PMM1572	adenosylmethionine decarboxylase	TX50_RS08415	spermidine biosynthesis I	Amine and Polyamine Biosynthesis
RNA_29	RNA_29	tRNA-Trp	TX50_RS02555	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0414	PMM0414	SDR family NAD(P)-dependent oxidoreductase	TX50_RS02225		
chlL	PMM0543	ChlL	TX50_RS02905	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
PMM0873	PMM0873	molecular chaperone DnaJ	TX50_RS04670		
purT	PMM1004	formate-dependent phosphoribosylglycinamide formyltransferase	TX50_RS05370	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM0019	PMM0019	Predicted GTPase	TX50_RS00110		
ndhE	PMM0157	ferredoxin-quinone oxidoreductase subunit E	TX50_RS00820	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin // cyanate degradation // CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	Generation of Precursor Metabolites and Energy // Inorganic Nutrient Metabolism // C1 Compound Utilization and Assimilation
rplV	PMM1553	50S ribosomal protein L22	TX50_RS08315		
speE	PMM1685	spermidine synthase	TX50_RS09000	spermidine biosynthesis I	Amine and Polyamine Biosynthesis
proC	PMM0396	Pyrroline-5-carboxylate reductase	TX50_RS02130	L-proline biosynthesis I (from L-glutamate)	Amino Acid Biosynthesis
PMM0524	PMM0524	site-specific integrase	TX50_RS02810		
PMM0851	PMM0851	HAD-IA family hydrolase	TX50_RS04550		
PMM0975	PMM0975	DUF2862 domain-containing protein	TX50_RS05190		
truA	PMM1533	Pseudouridylate synthase	TX50_RS08220	pseudouridine degradation	Nucleoside and Nucleotide Degradation
plsC	PMM0138	1-acyl-sn-glycerol-3-phosphate acyltransferase	TX50_RS00725	CDP-diacylglycerol biosynthesis I // oleate biosynthesis III (cyanobacteria) // CDP-diacylglycerol biosynthesis III	Fatty Acid and Lipid Biosynthesis
PMM0828	PMM0828	RNA-binding S4 domain-containing protein	TX50_RS04435		
thiG	PMM1664	thiazole synthase	TX50_RS08890	superpathway of thiamine diphosphate biosynthesis II // superpathway of thiamine diphosphate biosynthesis I // L-alanine biosynthesis III // thiazole component of thiamine diphosphate biosynthesis I // thiazole component of thiamine diphosphate biosynthesis II // biotin biosynthesis from 8-amino-7-oxononanoate III // biotin biosynthesis from 8-amino-7-oxononanoate I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
argD	PMM1301	ornithine/acetylornithine aminotransferase	TX50_RS06980	L-arginine biosynthesis I (via L-ornithine) // L-arginine biosynthesis II (acetyl cycle) // L-ornithine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0505	PMM0505	adenosine kinase	TX50_RS02715	adenine and adenosine salvage VI	Nucleoside and Nucleotide Biosynthesis
PMM1515	PMM1515	recombinase family protein	TX50_RS08125		
PMM0959	PMM0959	kinase	TX50_RS05105		
potA	PMM0803	ABC-type iron transporter, ATP-binding protein component	TX50_RS04280		
PMM0116	PMM0116	iron-sulfur cluster assembly accessory protein	TX50_RS00610		
PMM1284	PMM1284	PhoH family protein	TX50_RS06890		
lysC	PMM1648	aspartate kinase	TX50_RS08810	superpathway of L-threonine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-isoleucine biosynthesis I // superpathway of L-methionine biosynthesis (transsulfuration) // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // L-homoserine biosynthesis // L-lysine biosynthesis VI	Superpathways // Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1498	PMM1498	B12-binding domain-containing radical SAM protein	TX50_RS08040		
larC	PMM0487	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase	TX50_RS02625	nickel cofactor biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
accD	PMM0784	acetyl-CoA carboxylase carboxyltransferase subunit beta	TX50_RS04185	biotin-carboxyl carrier protein assembly // fatty acid biosynthesis initiation (type II)	Fatty Acid and Lipid Biosynthesis
PMM0940	PMM0940	DMT family transporter	TX50_RS05010		
lexA	PMM1262	repressor LexA	TX50_RS06785		
PMM0097	PMM0097	TolC family protein	TX50_RS00515		
hli3	PMM1482	high light inducible protein Hli3	TX50_RS07960		
PMM1631	PMM1631	chromosome condensation protein CrcB	TX50_RS08720		
cynS	PMM0373	cyanase	TX50_RS01985	cyanate degradation	Inorganic Nutrient Metabolism
PMM0466	PMM0466	DUF814 domain-containing protein	TX50_RS02505		
ccsB	PMM0765	c-type cytochrome biogenesis protein CcsB	TX50_RS04090		
PMM0921	PMM0921	class I SAM-dependent methyltransferase	TX50_RS04915		
PMM1236	PMM1236	transketolase	TX50_RS06655	pentose phosphate pathway // oxygenic photosynthesis // pentose phosphate pathway (non-oxidative branch) I // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
pgm	PMM0076	phosphoglucomutase	TX50_RS00405	sucrose biosynthesis I (from photosynthesis) // glycogen biosynthesis I (from ADP-D-Glucose) // glycogen degradation II // glucosylglycerol biosynthesis // D-galactose degradation I (Leloir pathway) // UDP-&alpha;-D-glucose biosynthesis	Superpathways // Carbohydrate Biosynthesis // Glycan Pathways // Carbohydrate Degradation // Polymeric Compound Degradation // Fatty Acid and Lipid Biosynthesis
purB	PMM1465	adenylosuccinate lyase	TX50_RS07875	inosine-5'-phosphate biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis	Nucleoside and Nucleotide Biosynthesis // Superpathways
thiC	PMM1611	phosphomethylpyrimidine synthase	TX50_RS08620	superpathway of thiamine diphosphate biosynthesis I // superpathway of thiamine diphosphate biosynthesis II // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0353	PMM0353	glycosyl transferase	TX50_RS01870		
ctaB	PMM0448	protoheme IX farnesyltransferase	TX50_RS02410	heme <i>a</i> biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis
PMM0748	PMM0748	HlyD family efflux transporter periplasmic adaptor subunit	TX50_RS04010		
PMM0905	PMM0905	DUF3593 domain-containing protein	TX50_RS04835		
PMM1216	PMM1216	nucleotidyltransferase family protein	TX50_RS06555		
PMM0054	PMM0054	phage holin family protein	TX50_RS00285		
PMM1447	PMM1447	DUF3326 domain-containing protein	TX50_RS07785		
pebB	PMM1592	phycoerythrobilin:ferredoxin oxidoreductase	TX50_RS08520	phycoerythrobilin biosynthesis I	Tetrapyrrole Biosynthesis
psaE	PMM0329	Photosystem I reaction centre subunit IV PsaE	TX50_RS01735	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM0429	PMM0429	DUF2862 domain-containing protein	TX50_RS02315		
pstC	PMM0723	ABC-type phosphate transporter, permease component	TX50_RS03865		
leuS	PMM0889	leucine--tRNA ligase	TX50_RS04750	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1199	PMM1199	glycosyltransferase	TX50_RS06470		
cbiD	PMM0036	cobalt-precorrin-5B (C(1))-methyltransferase	TX50_RS00195		
PMM1430	PMM1430	DUF1818 family protein	TX50_RS07705		
larE	PMM1571	ATP-dependent sacrificial sulfur transferase LarE	TX50_RS08410	nickel cofactor biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
nrdR	PMM0313	transcriptional repressor NrdR	TX50_RS01625		
murE	PMM0413	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	TX50_RS02220	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM0694	PMM0694	SDR family oxidoreductase	TX50_RS03705		
pheT	PMM0871	Phenylalanyl-tRNA synthetase beta subunit	TX50_RS04660	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
aroH	PMM1181	chorismate mutase	TX50_RS06375	superpathway of L-phenylalanine biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // L-phenylalanine biosynthesis I // L-tyrosine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0018	PMM0018	sulfurtransferase TusA family protein	TX50_RS00105		
hli10	PMM1390	high light inducible protein Hli10	TX50_RS07475		
rpsC	PMM1552	30S ribosomal protein S3	TX50_RS08310		
ndhC	PMM0294	ferredoxin-quinone oxidoreductase subunit C	TX50_RS01525	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
sepF	PMM0395	cell division protein SepF	TX50_RS02125		
phnE	PMM0672	ABC-type phosphonate transporter, ATP-binding protein component	TX50_RS03575		
PMM0850	PMM0850	YkgJ family cysteine cluster protein	TX50_RS04545		
psbD	PMM1157	Photosystem II reaction center D2	TX50_RS06240	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
rplM	PMM1532	50S ribosomal protein L13	TX50_RS08215		
PMM1371	PMM1371	DMT family transporter	TX50_RS07360		
PMM0827	PMM0827	ABC-type multidrug transporter	TX50_RS04430		
PMM0278	PMM0278	phosphoglucomutase/phosphomannomutase family protein	TX50_RS01445		
murA	PMM1300	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	TX50_RS06970	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM0652	PMM0652	5'-3' exonuclease	TX50_RS03455		
lipA	PMM1514	lipoyl synthase	TX50_RS08120	lipoate biosynthesis and incorporation I	Cofactor, Carrier, and Vitamin Biosynthesis
polA	PMM1140	DNA polymerase I	TX50_RS06145		
nth	PMM0802	endonuclease III	TX50_RS04275		
rnz	PMM1349	ribonuclease Z	TX50_RS07235		
era	PMM1281	GTPase, Era homolog	TX50_RS06875		
murJ	PMM0261	murein biosynthesis integral membrane protein MurJ	TX50_RS01355		
PMM1497	PMM1497	glycosyltransferase family 2 protein	TX50_RS08035		
PMM0632	PMM0632	SDR family NAD(P)-dependent oxidoreductase	TX50_RS03355		
PMM0782	PMM0782	Gfo/Idh/MocA family oxidoreductase	TX50_RS04175		
crtH	PMM1115	carotene isomerase	TX50_RS05975	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis
PMM1261	PMM1261	nucleotide sugar dehydrogenase	TX50_RS06780		
msrA	PMM1333	peptide-methionine (S)-S-oxide reductase MsrA	TX50_RS07155		
rlmN	PMM1481	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	TX50_RS07955		
thyX	PMM0243	thymidylate synthase (FAD)	TX50_RS01260	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters
cynD	PMM0372	ABC-type cyanate transporter, ATP-binding protein component	TX50_RS01980		
PMM0612	PMM0612	SAM-dependent methyltransferase	TX50_RS03255		
lptB	PMM0764	ABC-type lipopolyprotein transporter, ATP-binding component	TX50_RS04085		
bioB	PMM1093	biotin synthase BioB	TX50_RS05865	biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis from 8-amino-7-oxononanoate III // L-alanine biosynthesis III	Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
PMM1235	PMM1235	transketolase	TX50_RS06650	pentose phosphate pathway // oxygenic photosynthesis // pentose phosphate pathway (non-oxidative branch) I // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
PMM1312	PMM1312	TRAM domain-containing protein	TX50_RS07040		
PMM1464	PMM1464	TlyA family RNA methyltransferase	TX50_RS07870		
kdgA	PMM0225	2-keto-3-deoxy-6-phosphogluconate aldolase	TX50_RS01160	Entner-Doudoroff pathway I // Entner-Doudoroff shunt	Superpathways // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy
PMM0352	PMM0352	CPBP family intramembrane metalloprotease	TX50_RS01865		
thrB	PMM0595	homoserine kinase	TX50_RS03170	superpathway of L-threonine biosynthesis // superpathway of L-isoleucine biosynthesis I // L-threonine biosynthesis	Superpathways // Amino Acid Biosynthesis
pcyA	PMM0747	phycocyanobilin:ferredoxin oxidoreductase	TX50_RS04005	phycocyanobilin biosynthesis	Tetrapyrrole Biosynthesis
cobB	PMM1072	Cobyrinic acid a,c-diamide synthase	TX50_RS05755	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
lhgO	PMM1215	L-2-hydroxyglutarate oxidase	TX50_RS06550		
nusG	PMM0205	transcription termination/antitermination protein NusG	TX50_RS01060		
nadE	PMM1446	NAD+ synthase	TX50_RS07780	NAD <i>de novo</i> biosynthesis I (from aspartate)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0577	PMM0577	type II alternative RNA polymerase sigma factor, sigma-70 family	TX50_RS03080		
PMM0328	PMM0328	DNA-formamidopyrimidine glycosylase	TX50_RS01730		
chlI	PMM1055	Protoporphyrin IX Mg-chelatase subunit ChlI	TX50_RS05670	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
PMM0719	PMM0719	DUF3764 domain-containing protein	TX50_RS03840		
nadC	PMM0188	carboxylating nicotinate-nucleotide diphosphorylase	TX50_RS00975	NAD <i>de novo</i> biosynthesis I (from aspartate)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1198	PMM1198	DUF2029 domain-containing protein	TX50_RS06465		
PMM1126	PMM1126	acyltransferase family protein	TX50_RS09195		
PMM1429	PMM1429	DUF2811 domain-containing protein	TX50_RS07700		
gloB	PMM0559	hydroxyacylglutathione hydrolase	TX50_RS02985	methylglyoxal degradation I	Methylglyoxal Detoxification // Aldehyde Degradation
rps1a	PMM0312	30S ribosomal protein S1	TX50_RS01620		
PMM1031	PMM1031	ABC-type metal transporter, ATP-binding protein component	TX50_RS05545		
PMM0691	PMM0691	TIGR02450 family Trp-rich protein	TX50_RS03680		
ndhH	PMM0172	ferredoxin-quinone oxidoreductase subunit H	TX50_RS00895	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
sppA	PMM1180	signal peptide peptidase SppA	TX50_RS06370	lipoprotein posttranslational modification	Protein Modification
acnB	PMM1700	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	TX50_RS09075	partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
PMM1389	PMM1389	2OG-Fe(II) oxygenase	TX50_RS07470		
psaM	PMM0540	photosystem I reaction center subunit XII	TX50_RS02890	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
ndhK	PMM0293	ferredoxin-quinone oxidoreductase subunit K	TX50_RS01520	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM0998	PMM0998	DUF393 domain-containing protein	TX50_RS05325		
phnC	PMM0671	ABC-type phosphonate transporter, permease component	TX50_RS03570		
PMM0155	PMM0155	CYTH domain-containing protein	TX50_RS00810		
ycf4	PMM1156	photosystem I assembly protein Ycf4	TX50_RS06235		
PMM1683	PMM1683	AIR synthase	TX50_RS08985	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1370	PMM1370	NAD(P)/FAD-dependent oxidoreductase	TX50_RS07350		
pyrH	PMM0522	UMP kinase	TX50_RS02800	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // UTP and CTP <i>de novo</i> biosynthesis	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM0277	PMM0277	TM0106 family RecB-like putative nuclease	TX50_RS01440		
urtD	PMM0973	ABC-type urea transporter ATP-binding protein UrtD	TX50_RS05175		
PMM0651	PMM0651	VHS domain-containing protein	TX50_RS03450		
fabH	PMM0136	ketoacyl-ACP synthase III	TX50_RS00715	fatty acid biosynthesis initiation (type II)	Fatty Acid and Lipid Biosynthesis
PMM1139	PMM1139	efflux RND transporter periplasmic adaptor subunit	TX50_RS06140		
rplT	PMM1662	50S ribosomal protein L20	TX50_RS08880		
PMM1348	PMM1348	SpoIID/LytB domain-containing protein	TX50_RS07230		
PMM0503	PMM0503	precorrin-6A/cobalt-precorrin-6A reductase	TX50_RS02705	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0260	PMM0260	DUF3181 family protein	TX50_RS01350		
PMM0956	PMM0956	undecaprenyl-diphosphate phosphatase	TX50_RS05090	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis // Polyprenyl Biosynthesis
PMM0631	PMM0631	GIY-YIG nuclease family protein	TX50_RS03350		
hemD	PMM0113	uroporphyrinogen-III synthase	TX50_RS00595	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole Biosynthesis
rer05	PMM1113	response regulator transcription factor 5	TX50_RS05965		
cobH	PMM1646	precorrin-8X methylmutase	TX50_RS08800	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1332	PMM1332	leucyl aminopeptidase	TX50_RS07150		
hemL	PMM0483	glutamate-1-semialdehyde 2,1-aminomutase	TX50_RS02605	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole Biosynthesis
trxA	PMM0242	thioredoxin	TX50_RS01255	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
umuC	PMM0937	DNA polymerase V catalytic subunit	TX50_RS04995		
glmU	PMM0611	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	TX50_RS03250	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	Carbohydrate Biosynthesis
PMM0095	PMM0095	YihY/virulence factor BrkB family protein	TX50_RS00505		
uppS	PMM1092	isoprenyl transferase	TX50_RS05860	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis // Polyprenyl Biosynthesis
PMM1629	PMM1629	type II alternative RNA polymerase sigma factor, sigma-70 family	TX50_RS08710		
hemW	PMM1311	heme chaperone HemW monomer	TX50_RS07035		
PMM0463	PMM0463	DUF3067 family protein	TX50_RS02490		
aroC	PMM0224	chorismate synthase	TX50_RS01155	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
PMM0919	PMM0919	alanine--glyoxylate aminotransferase family protein	TX50_RS04905		
ndhD2	PMM0594	ferredoxin-quinone oxidoreductase subunit D2	TX50_RS03165	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
sufB	PMM0073	Fe-S cluster assembly protein SufB	TX50_RS00385		
PMM1071	PMM1071	divergent PAP2 family protein	TX50_RS05750		
fabF	PMM1609	beta-ketoacyl-ACP synthase II	TX50_RS08610	stearate biosynthesis II (bacteria and plants) // stearate biosynthesis IV // fatty acid elongation -- saturated // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III	Fatty Acid and Lipid Biosynthesis
rplK	PMM0204	50S ribosomal protein L11	TX50_RS01055		
cyoA	PMM0446	Cytochrome c oxidase subunit II	TX50_RS02400	aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM0576	PMM0576	DUF1232 domain-containing protein	TX50_RS03075		
PMM0903	PMM0903	peroxiredoxin	TX50_RS04825		
ruvC	PMM1054	crossover junction endodeoxyribonuclease RuvC	TX50_RS05665		
PMM0052	PMM0052	aldo/keto reductase	TX50_RS00275		
argS	PMM0187	arginine--tRNA ligase	TX50_RS00970	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
panC/cmk	PMM1590	bifunctional pantoate ligase/cytidylate kinase	TX50_RS08510	phosphopantothenate biosynthesis I // pyrimidine deoxyribonucleotide phosphorylation // CMP phosphorylation	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters
PMM1124	PMM1124	autotransporter outer membrane beta-barrel domain-containing protein	TX50_RS09190		
PMM0427	PMM0427	penicillin-binding protein	TX50_RS02305		
PMM0558	PMM0558	reactive intermediate/imine deaminase	TX50_RS02980		
PMM0887	PMM0887	aminotransferase class V-fold PLP-dependent enzyme	TX50_RS04740		
PMM1030	PMM1030	ferric uptake regulator	TX50_RS05540		
PMM0033	PMM0033	AbrB family transcriptional regulator	TX50_RS00180		
rsmH	PMM0171	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	TX50_RS00890		
thiF	PMM1569	sulfur carrier protein ThiS adenylyltransferase	TX50_RS08400	superpathway of thiamine diphosphate biosynthesis II // superpathway of thiamine diphosphate biosynthesis I // L-alanine biosynthesis III // thiazole component of thiamine diphosphate biosynthesis I // thiazole component of thiamine diphosphate biosynthesis II // biotin biosynthesis from 8-amino-7-oxononanoate III // biotin biosynthesis from 8-amino-7-oxononanoate I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
aroF	PMM1699	3-deoxy-7-phosphoheptulonate synthase	TX50_RS09070	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // 3-dehydroquinate biosynthesis I	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
yidD	PMM0411	membrane protein insertion efficiency factor YidD	TX50_RS02210		
PMM0539	PMM0539	protein ligase	TX50_RS02885		
rpsR	PMM0869	30S ribosomal protein S18	TX50_RS04650		
PMM0996	PMM0996	DUF3303 domain-containing protein	TX50_RS05315		
grpE	PMM0016	nucleotide exchange factor GrpE	TX50_RS00095		
pedR	PMM0154	PedR	TX50_RS00805		
rpmC	PMM1550	50S ribosomal protein L29	TX50_RS08300		
valS	PMM1682	valine--tRNA ligase	TX50_RS08980	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
pipX	PMM0393	P<sub>II</sub>-interacting protein X	TX50_RS02115		
frr	PMM0521	ribosome recycling factor	TX50_RS02795		
PMM0847	PMM0847	RNB domain-containing ribonuclease	TX50_RS04530		
urtC	PMM0972	ABC-type urea transporter permease subunit UrtC	TX50_RS05170		
PMM0843	PMM0843	TldD/PmbA family protein	TX50_RS04510		
plsX	PMM0135	phosphate acyltransferase	TX50_RS00710	CDP-diacylglycerol biosynthesis III	Fatty Acid and Lipid Biosynthesis
rpmE	PMM1530	50S ribosomal protein L31	TX50_RS08205		
rpmI	PMM1661	50S ribosomal protein L35	TX50_RS08875		
PMM0824	PMM0824	DUF3318 domain-containing protein	TX50_RS04415		
PMM0502	PMM0502	single-stranded DNA-binding protein	TX50_RS02700		
lpd	PMM1298	Dihydrolipoamide dehydrogenase	TX50_RS06960	folate transformations III (<i>E. coli</i>) // glycine cleavage // pyruvate decarboxylation to acetyl CoA I // 2-oxoglutarate decarboxylation to succinyl-CoA	Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Degradation // Carboxylate Degradation // Generation of Precursor Metabolites and Energy
msrA	PMM0955	peptide-methionine (S)-S-oxide reductase MsrA	TX50_RS05080		
