Entry	Entry name	Status	Protein names	Gene names	Cross-reference (KEGG)	Organism	Length	Pathway	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Annotation	Caution	Features	Gene ontology IDs	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Signal peptide	Transit peptide	Cross-reference (Bgee)	Cross-reference (CollecTF)	Cross-reference (BioCyc)	Cross-reference (RefSeq)
Q7V1P2	Q7V1P2_PROMP	unreviewed	Uncharacterized protein	PMM0821	pmm:PMM0821;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	321		PMM0821			1 out of 5												WP_011132455.1;
Q7V320	Q7V320_PROMP	unreviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE PMM0275	pmm:PMM0275;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	186	PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; UMP from orotate: step 1/2. {ECO:0000256|ARBA:ARBA00004889, ECO:0000256|HAMAP-Rule:MF_01208}.	PMM0275	pyrE		3 out of 5	CAUTION: Lacks conserved residue(s) required for the propagation of feature annotation. {ECO:0000256|HAMAP-Rule:MF_01208}.	Binding site (5); Region (1)	GO:0000287; GO:0004588; GO:0009116; GO:0044205	'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]		magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]						WP_011131912.1;
Q7V0F4	Q7V0F4_PROMP	unreviewed	POTRA_1 domain-containing protein	PMM1308	pmm:PMM1308;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	241		PMM1308			1 out of 5		Domain (1)										WP_011132942.1;
Q7V1B7	Q7V1B7_PROMP	unreviewed	Possible Vng0271c	PMM0962	pmm:PMM0962;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	408		PMM0962			1 out of 5												WP_011132595.1;
Q7V0T0	Q7V0T0_PROMP	unreviewed	Uncharacterized protein	PMM1173	pmm:PMM1173;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	90		PMM1173			1 out of 5		Transmembrane (3)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132807.1;
Q7V183	Q7V183_PROMP	unreviewed	Uncharacterized protein	PMM0999	pmm:PMM0999;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	61		PMM0999			1 out of 5												WP_011132631.1;
Q7V2Z0	Q7V2Z0_PROMP	unreviewed	Uncharacterized protein	PMM0308	pmm:PMM0308;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	211		PMM0308			1 out of 5		Transmembrane (6)	GO:0016021		integral component of membrane [GO:0016021]							WP_011131945.1;
Q7V334	Q7V334_PROMP	unreviewed	Uncharacterized protein	PMM0259	pmm:PMM0259;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	83		PMM0259			1 out of 5		Transmembrane (2)	GO:0016021		integral component of membrane [GO:0016021]							WP_011131896.1;
Q7V188	Q7V188_PROMP	unreviewed	GCN5-related N-acetyltransferase	PMM0994	pmm:PMM0994;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	153		PMM0994			1 out of 5		Domain (1)	GO:0008080			N-acetyltransferase activity [GO:0008080]						WP_011132626.1;
Q7V3H6	Q7V3H6_PROMP	unreviewed	Uncharacterized protein	PMM0099	pmm:PMM0099;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	255		PMM0099			1 out of 5		Transmembrane (7)	GO:0016021		integral component of membrane [GO:0016021]							WP_011131737.1;
Q7UZU4	Q7UZU4_PROMP	unreviewed	Uncharacterized protein	PMM1561	pmm:PMM1561;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	258		PMM1561			1 out of 5												WP_011133189.1;
A8WI72	A8WI72_PROMP	unreviewed	Uncharacterized protein	PMM1852	pmm:PMM1852;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	58		PMM1852			1 out of 5												
Q7TUF2	Q7TUF2_PROMP	unreviewed	Possible Rhomboid family	PMM0332	pmm:PMM0332;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	197		PMM0332			1 out of 5		Domain (1); Transmembrane (5)	GO:0004252; GO:0016021		integral component of membrane [GO:0016021]	serine-type endopeptidase activity [GO:0004252]						
Q7V0N7	Q7V0N7_PROMP	unreviewed	Putative nucleoside-diphosphate sugar epimerase	PMM1219	pmm:PMM1219;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	315		PMM1219			1 out of 5		Domain (1)	GO:0003824			catalytic activity [GO:0003824]						WP_011132853.1;
Q7V160	Q7V160_PROMP	unreviewed	Putative stress-induced protein OsmC	PMM1025	pmm:PMM1025;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	135		PMM1025			1 out of 5												WP_011132658.1;
Q7UZL9	Q7UZL9_PROMP	unreviewed	GtrA domain-containing protein	PMM1641	pmm:PMM1641;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	150		PMM1641			1 out of 5		Domain (1); Transmembrane (4)	GO:0000271; GO:0016021	polysaccharide biosynthetic process [GO:0000271]	integral component of membrane [GO:0016021]							
Q7V3I8	Q7V3I8_PROMP	unreviewed	Uncharacterized protein	PMM0087	pmm:PMM0087;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	112		PMM0087			1 out of 5		Compositional bias (1); Region (1)										WP_011131725.1;
Q7V184	Q7V184_PROMP	unreviewed	Uncharacterized protein	PMM0998	pmm:PMM0998;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	145		PMM0998			1 out of 5			GO:0015035			protein-disulfide reductase activity [GO:0015035]						
Q7V3L5	Q7V3L5_PROMP	unreviewed	Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2)	accC fabG PMM0060	pmm:PMM0060;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	449	PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. {ECO:0000256|RuleBase:RU365063}.	PMM0060	accC	fabG	3 out of 5		Domain (2)	GO:0003989; GO:0004075; GO:0005524; GO:0006633; GO:0046872; GO:2001295	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]		acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]						WP_011131698.1;
Q7V1C7	Q7V1C7_PROMP	unreviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA PMM0951	pmm:PMM0951;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	380	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.	PMM0951	carA	pyrA	3 out of 5		Active site (3); Domain (1); Region (1)	GO:0004088; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]		ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]						WP_011132584.1;
Q7V0L0	Q7V0L0_PROMP	unreviewed	Carbamoyltransferase	PMM1246	pmm:PMM1246;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	610		PMM1246			1 out of 5		Domain (2)	GO:0009058; GO:0016740	biosynthetic process [GO:0009058]		transferase activity [GO:0016740]						WP_011132880.1;
Q7V2I6	Q7V2I6_PROMP	unreviewed	CobW C-terminal domain-containing protein	PMM0490	pmm:PMM0490;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	364		PMM0490			1 out of 5		Domain (1); Region (1)										WP_011132125.1;
Q7V235	Q7V235_PROMP	unreviewed	Uncharacterized protein	PMM0654	pmm:PMM0654;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	144		PMM0654			1 out of 5		Transmembrane (4)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132288.1;
Q7V096	Q7V096_PROMP	unreviewed	Uncharacterized protein	PMM1373	pmm:PMM1373;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	111		PMM1373			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							WP_011133007.1;
Q7V3K4	Q7V3K4_PROMP	unreviewed	ABC transporter, membrane component	PMM0071	pmm:PMM0071;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	405		PMM0071			1 out of 5			GO:0016226	iron-sulfur cluster assembly [GO:0016226]								WP_011131709.1;
A8WIH1	A8WIH1_PROMP	unreviewed	Uncharacterized protein	PMM1954	pmm:PMM1954;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	55		PMM1954			1 out of 5												
Q7V1E0	Q7V1E0_PROMP	unreviewed	Uncharacterized protein	PMM0934	pmm:PMM0934;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	117		PMM0934			1 out of 5												
Q7V344	Q7V344_PROMP	unreviewed	Uncharacterized protein	PMM0248	pmm:PMM0248;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	145		PMM0248			1 out of 5												WP_011131886.1;
Q7V1Q8	Q7V1Q8_PROMP	unreviewed	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	pgsA PMM0798	pmm:PMM0798;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	180	PATHWAY: Phospholipid metabolism. {ECO:0000256|ARBA:ARBA00025707}.	PMM0798	pgsA		2 out of 5		Transmembrane (5)	GO:0008444; GO:0008654; GO:0016021	phospholipid biosynthetic process [GO:0008654]	integral component of membrane [GO:0016021]	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]						WP_011132432.1;
Q7V0U9	Q7V0U9_PROMP	unreviewed	Predicted alpha/beta hydrolase superfamily protein	PMM1153	pmm:PMM1153;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	340		PMM1153			1 out of 5		Domain (1)	GO:0016787			hydrolase activity [GO:0016787]						
Q7UZQ2	Q7UZQ2_PROMP	unreviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS PMM1606	pmm:PMM1606;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	631		PMM1606	glmS		3 out of 5		Active site (2); Domain (3); Initiator methionine (1)	GO:0004360; GO:0005737; GO:0005975; GO:0006541; GO:0097367; GO:1901137	carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	cytoplasm [GO:0005737]	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]						WP_011133234.1;
A8WIH7	A8WIH7_PROMP	unreviewed	Uncharacterized protein	PMM1960	pmm:PMM1960;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	53		PMM1960			1 out of 5		Coiled coil (1); Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V3A0	Q7V3A0_PROMP	unreviewed	Prokaryotic diacylglycerol kinase (EC 2.7.1.107)	dgkA PMM0183	pmm:PMM0183;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	138		PMM0183	dgkA		2 out of 5		Transmembrane (3)	GO:0004143; GO:0005524; GO:0005886; GO:0008654; GO:0016021	phospholipid biosynthetic process [GO:0008654]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]						WP_011131822.1;
Q7V013	Q7V013_PROMP	unreviewed	Uncharacterized protein	PMM1478	pmm:PMM1478;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	130		PMM1478			1 out of 5												WP_011133106.1;
Q7V082	Q7V082_PROMP	unreviewed	Possible high light inducible protein	hli10 PMM1390	pmm:PMM1390;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	42		PMM1390	hli10		1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V0Y2	Q7V0Y2_PROMP	unreviewed	Uncharacterized protein	PMM1112	pmm:PMM1112;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	89		PMM1112			1 out of 5												WP_011132745.1;
A8WID2	A8WID2_PROMP	unreviewed	Uncharacterized protein	PMM1913	pmm:PMM1913;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	45		PMM1913			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7UZI8	Q7UZI8_PROMP	unreviewed	SprT-like domain-containing protein	PMM1677	pmm:PMM1677;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	177		PMM1677			1 out of 5		Domain (1)	GO:0003697; GO:0004222; GO:0006974	cellular response to DNA damage stimulus [GO:0006974]		metalloendopeptidase activity [GO:0004222]; single-stranded DNA binding [GO:0003697]						
Q7V208	Q7V208_PROMP	unreviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK PMM0683	pmm:PMM0683;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	396	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (N5-CAIR route): step 1/2. {ECO:0000256|HAMAP-Rule:MF_01928, ECO:0000256|RuleBase:RU361200}.	PMM0683	purK		3 out of 5	CAUTION: Lacks conserved residue(s) required for the propagation of feature annotation. {ECO:0000256|HAMAP-Rule:MF_01928}.	Binding site (3); Domain (1); Nucleotide binding (2)	GO:0004638; GO:0005524; GO:0006189; GO:0034028; GO:0046872	'de novo' IMP biosynthetic process [GO:0006189]		5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]						WP_011132317.1;
Q7V398	Q7V398_PROMP	unreviewed	Uncharacterized protein	PMM0185	pmm:PMM0185;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	242		PMM0185			1 out of 5		Chain (1); Signal peptide (1)					SIGNAL 1..25;  /evidence="ECO:0000256|SAM:SignalP"					WP_011131824.1;
Q7V3L7	Q7V3L7_PROMP	unreviewed	Uncharacterized protein	PMM0058	pmm:PMM0058;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	338		PMM0058			1 out of 5		Compositional bias (2); Domain (2); Region (1)										
A8WIN0	A8WIN0_PROMP	unreviewed	Uncharacterized protein	PMM2014	pmm:PMM2014;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	70		PMM2014			1 out of 5												WP_036930668.1;
Q7V325	Q7V325_PROMP	unreviewed	Two-component sensor histidine kinase (EC 2.7.3.-)	PMM0269	pmm:PMM0269;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	378		PMM0269			1 out of 5		Domain (1)	GO:0000155			phosphorelay sensor kinase activity [GO:0000155]						WP_011131906.1;
Q7TUF9	Q7TUF9_PROMP	unreviewed	Mg-protoporphyrin IX chelatase (EC 6.6.1.1)	chlD PMM0288	pmm:PMM0288;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	720	PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis. {ECO:0000256|RuleBase:RU362087}.	PMM0288	chlD		2 out of 5		Compositional bias (2); Domain (1); Region (1)	GO:0005524; GO:0015979; GO:0015995; GO:0016851	chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]		ATP binding [GO:0005524]; magnesium chelatase activity [GO:0016851]						
B9ER29	B9ER29_PROMP	unreviewed	Uncharacterized protein	PMM2034	pmm:PMM2034;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	51		PMM2034			1 out of 5												
Q7V066	Q7V066_PROMP	unreviewed	Conserved hypothetical	PMM1416	pmm:PMM1416;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	694		PMM1416			1 out of 5		Chain (1); Signal peptide (1)					SIGNAL 1..23;  /evidence="ECO:0000256|SAM:SignalP"					WP_011133045.1;
Q7V3D3	Q7V3D3_PROMP	unreviewed	Squalene and phytoene synthases (EC 2.5.1.-)	crtB,pys PMM0143	pmm:PMM0143;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	302		PMM0143	crtB,pys		1 out of 5		Coiled coil (1)	GO:0004311; GO:0016117	carotenoid biosynthetic process [GO:0016117]		farnesyltranstransferase activity [GO:0004311]						WP_011131782.1;
Q7TU87	Q7TU87_PROMP	unreviewed	Possible Paired amphipathic helix repeat	PMM0991	pmm:PMM0991;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	275		PMM0991			1 out of 5												WP_011132623.1;
A8WIM4	A8WIM4_PROMP	unreviewed	Uncharacterized protein	PMM2008	pmm:PMM2008;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	66		PMM2008			1 out of 5												WP_036930656.1;
Q7V126	Q7V126_PROMP	unreviewed	Thioredoxin	trxA PMM1061	pmm:PMM1061;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	107		PMM1061	trxA		1 out of 5		Disulfide bond (1); Domain (1)	GO:0006662; GO:0015035	glycerol ether metabolic process [GO:0006662]		protein-disulfide reductase activity [GO:0015035]						WP_011132694.1;
Q7TUH7	Q7TUH7_PROMP	unreviewed	PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE	thiO PMM0047	pmm:PMM0047;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	369	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|ARBA:ARBA00004948}.	PMM0047	thiO		1 out of 5		Domain (1)	GO:0009229; GO:0016491; GO:0050660	thiamine diphosphate biosynthetic process [GO:0009229]		flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]						WP_011131685.1;
Q7V0S9	Q7V0S9_PROMP	unreviewed	Uncharacterized protein	PMM1174	pmm:PMM1174;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	74		PMM1174			1 out of 5												WP_011132808.1;
Q7UZJ5	Q7UZJ5_PROMP	unreviewed	Glycine dehydrogenase (aminomethyl-transferring) (EC 1.4.4.2)	gcvP PMM1668	pmm:PMM1668;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	969		PMM1668	gcvP		2 out of 5		Modified residue (1)	GO:0004375; GO:0006546	glycine catabolic process [GO:0006546]		glycine dehydrogenase (decarboxylating) activity [GO:0004375]						WP_011133295.1;
Q7V2F0	Q7V2F0_PROMP	unreviewed	30S ribosomal protein S1 homolog B, putative Nbp1	nbp1 rps1b rpsA2 PMM0530	pmm:PMM0530;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	405		PMM0530	nbp1	rps1b rpsA2	1 out of 5		Domain (3); Region (1)	GO:0003676; GO:0005840		ribosome [GO:0005840]	nucleic acid binding [GO:0003676]						WP_011132165.1;
Q7V0P9	Q7V0P9_PROMP	unreviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl PMM1207	pmm:PMM1207;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	317	PATHWAY: Nucleotide-sugar biosynthesis; GDP-L-fucose biosynthesis via de novo pathway; GDP-L-fucose from GDP-alpha-D-mannose: step 2/2. {ECO:0000256|HAMAP-Rule:MF_00956}.	PMM1207	fcl		3 out of 5	CAUTION: Lacks conserved residue(s) required for the propagation of feature annotation. {ECO:0000256|HAMAP-Rule:MF_00956}.	Active site (1); Binding site (5); Domain (1); Nucleotide binding (2); Site (2)	GO:0016853; GO:0042351; GO:0050577; GO:0070401	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]		GDP-L-fucose synthase activity [GO:0050577]; isomerase activity [GO:0016853]; NADP+ binding [GO:0070401]						WP_011132841.1;
Q7V338	Q7V338_PROMP	unreviewed	Uncharacterized protein	PMM0254	pmm:PMM0254;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	678		PMM0254			1 out of 5		Chain (1); Coiled coil (1); Signal peptide (1)					SIGNAL 1..29;  /evidence="ECO:0000256|SAM:SignalP"					
Q7TUC1	Q7TUC1_PROMP	unreviewed	Possible Vanadium/alternative nitrogenase delt	PMM0657	pmm:PMM0657;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	96		PMM0657			1 out of 5												WP_011132291.1;
Q7V079	Q7V079_PROMP	unreviewed	Conserved hypothetical	PMM1401	pmm:PMM1401;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	93		PMM1401			1 out of 5												WP_011133030.1;
Q7V1W4	Q7V1W4_PROMP	unreviewed	Conserved hypothetical	PMM0738	pmm:PMM0738;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	89		PMM0738			1 out of 5												WP_011132372.1;
Q7V0H7	Q7V0H7_PROMP	unreviewed	Multifunctional fusion protein [Includes: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12); tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)]	trmD ispF PMM1280	pmm:PMM1280;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	407	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 4/6. {ECO:0000256|ARBA:ARBA00004709, ECO:0000256|HAMAP-Rule:MF_00107}.	PMM1280	trmD	ispF	4 out of 5	CAUTION: Lacks conserved residue(s) required for the propagation of feature annotation. {ECO:0000256|HAMAP-Rule:MF_00107}.	Binding site (2); Domain (2); Metal binding (3); Region (5); Site (2)	GO:0005737; GO:0008685; GO:0016114; GO:0019288; GO:0046872; GO:0052906	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	cytoplasm [GO:0005737]	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]						
Q7V3A5	Q7V3A5_PROMP	unreviewed	Isochorismate synthase (EC 5.4.4.2)	menF PMM0177	pmm:PMM0177;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	465		PMM0177	menF		2 out of 5		Domain (1)	GO:0008909; GO:0044249	cellular biosynthetic process [GO:0044249]		isochorismate synthase activity [GO:0008909]						WP_011131816.1;
Q7TUA1	Q7TUA1_PROMP	unreviewed	Possible Fusion glycoprotein F0	PMM0864	pmm:PMM0864;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	104		PMM0864			1 out of 5		Transmembrane (2)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132498.1;
A8WI43	A8WI43_PROMP	unreviewed	Uncharacterized protein	PMM1830	pmm:PMM1830;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	47		PMM1830			1 out of 5												
Q7UZJ6	Q7UZJ6_PROMP	unreviewed	Uncharacterized protein	PMM1667	pmm:PMM1667;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	83		PMM1667			1 out of 5												WP_011133294.1;
Q7V3J1	Q7V3J1_PROMP	unreviewed	Possible sodium transporter, Trk family	PMM0084	pmm:PMM0084;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	467		PMM0084			1 out of 5		Transmembrane (10)	GO:0006813; GO:0008324; GO:0016021	potassium ion transport [GO:0006813]	integral component of membrane [GO:0016021]	cation transmembrane transporter activity [GO:0008324]						WP_011131722.1;
Q7V1J9	Q7V1J9_PROMP	unreviewed	Probable ribonuclease II (EC 3.1.13.1)	PMM0868	pmm:PMM0868;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	394		PMM0868			1 out of 5		Domain (1)	GO:0003723; GO:0008859			exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]						WP_011132502.1;
Q7V234	Q7V234_PROMP	unreviewed	Uncharacterized protein	PMM0655	pmm:PMM0655;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	98		PMM0655			1 out of 5												
Q7V0U0	Q7V0U0_PROMP	unreviewed	Uncharacterized protein	PMM1162	pmm:PMM1162;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	602		PMM1162			1 out of 5		Chain (1); Signal peptide (1)					SIGNAL 1..21;  /evidence="ECO:0000256|SAM:SignalP"					WP_011132796.1;
Q7V1U4	Q7V1U4_PROMP	unreviewed	Putative carboxypeptidase	PMM0761	pmm:PMM0761;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	243		PMM0761			1 out of 5		Domain (1); Transmembrane (1)	GO:0004180; GO:0016021		integral component of membrane [GO:0016021]	carboxypeptidase activity [GO:0004180]						WP_011132395.1;
Q7V1T3	Q7V1T3_PROMP	unreviewed	CIA30 domain-containing protein	PMM0772	pmm:PMM0772;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	182		PMM0772			1 out of 5		Domain (1)										WP_011132406.1;
