"locus_tag","type","gene","gene_biotype","old_locus_tag","product","protein_id"
"ACZ81_RS08510","gene",NA,"protein_coding","ACZ81_08510","HAMP domain-containing histidine kinase","WP_061485689.1"
"ACZ81_RS08515","gene",NA,"protein_coding","ACZ81_08515","DUF1679 domain-containing protein","WP_061485691.1"
"ACZ81_RS08520","gene","rne","protein_coding","ACZ81_08520","ribonuclease E","WP_061485693.1"
"ACZ81_RS08525","gene","rluC","protein_coding","ACZ81_08525","23S rRNA pseudouridine(955/2504/2580) synthase RluC","WP_014979112.1"
"ACZ81_RS08530","gene",NA,"protein_coding","ACZ81_08530","HAD-IA family hydrolase","WP_014979113.1"
"ACZ81_RS08535","gene",NA,"protein_coding","ACZ81_08535","Maf family nucleotide pyrophosphatase","WP_061485695.1"
"ACZ81_RS08540","gene","yceD","protein_coding","ACZ81_08540","23S rRNA accumulation protein YceD","WP_014976324.1"
"ACZ81_RS08545","gene","rpmF","protein_coding","ACZ81_08545","50S ribosomal protein L32","WP_012518206.1"
"ACZ81_RS08550","gene","plsX","protein_coding","ACZ81_08550","phosphate acyltransferase PlsX","WP_014976325.1"
"ACZ81_RS08555","gene",NA,"protein_coding","ACZ81_08555","ketoacyl-ACP synthase III","WP_014949212.1"
"ACZ81_RS08560","gene","fabD","protein_coding","ACZ81_08560","ACP S-malonyltransferase","WP_014949213.1"
"ACZ81_RS08565","gene","fabG","protein_coding","ACZ81_08565","3-oxoacyl-ACP reductase FabG","WP_014976326.1"
"ACZ81_RS08570","gene","acpP","protein_coding","ACZ81_08570","acyl carrier protein","WP_012518211.1"
"ACZ81_RS08575","gene","fabF","protein_coding","ACZ81_08575","beta-ketoacyl-ACP synthase II","WP_039229651.1"
"ACZ81_RS08580","gene","pabC","protein_coding","ACZ81_08580","aminodeoxychorismate lyase","WP_014949216.1"
"ACZ81_RS08585","gene","mltG","protein_coding","ACZ81_08585","endolytic transglycosylase MltG","WP_014949217.1"
"ACZ81_RS08590","gene","tmk","protein_coding","ACZ81_08590","dTMP kinase","WP_014949218.1"
"ACZ81_RS08595","gene","holB","protein_coding","ACZ81_08595","DNA polymerase III subunit delta'","WP_014979119.1"
"ACZ81_RS08600","gene",NA,"protein_coding","ACZ81_08600","TatD family hydrolase","WP_014979120.1"
"ACZ81_RS08605","gene",NA,"protein_coding","ACZ81_08605","pyridoxamine 5'-phosphate oxidase family protein","WP_039229648.1"
"ACZ81_RS08610","gene",NA,"protein_coding","ACZ81_08610","SDR family oxidoreductase","WP_014949222.1"
"ACZ81_RS08615","gene",NA,"protein_coding","ACZ81_08615","diguanylate cyclase","WP_232376004.1"
"ACZ81_RS08620","gene",NA,"protein_coding","ACZ81_08620","M2 family metallopeptidase","WP_061485699.1"
"ACZ81_RS08625","gene",NA,"protein_coding","ACZ81_08625","gamma-glutamylcyclotransferase","WP_014949225.1"
"ACZ81_RS08630","gene",NA,"protein_coding","ACZ81_08630","DUF4870 domain-containing protein","WP_014949226.1"
"ACZ81_RS08635","gene",NA,"protein_coding","ACZ81_08635","hypothetical protein","WP_061485701.1"
"ACZ81_RS08640","gene",NA,"protein_coding","ACZ81_08640","glucose 1-dehydrogenase","WP_014949228.1"
"ACZ81_RS08645","gene",NA,"protein_coding","ACZ81_08645","haloalkane dehalogenase","WP_014949229.1"
"ACZ81_RS08650","gene",NA,"protein_coding","ACZ81_08650","3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein","WP_014949230.1"
"ACZ81_RS08655","gene",NA,"protein_coding","ACZ81_08655","acetyl-CoA C-acyltransferase","WP_014949231.1"
"ACZ81_RS08660","gene",NA,"protein_coding","ACZ81_08660","acyl-CoA dehydrogenase C-terminal domain-containing protein","WP_061485703.1"
"ACZ81_RS08665","gene",NA,"protein_coding","ACZ81_08665","alpha/beta hydrolase","WP_061485704.1"
"ACZ81_RS08670","gene",NA,"protein_coding","ACZ81_08670","DUF3718 domain-containing protein","WP_014949234.1"
"ACZ81_RS08675","gene",NA,"protein_coding","ACZ81_08675","DUF3718 domain-containing protein","WP_014949235.1"
"ACZ81_RS08680","gene",NA,"protein_coding","ACZ81_08680","sugar-binding transcriptional regulator","WP_014949236.1"
"ACZ81_RS08685","gene",NA,"protein_coding","ACZ81_08685","HAD family phosphatase","WP_061485706.1"
"ACZ81_RS08690","gene",NA,"protein_coding","ACZ81_08690","hypothetical protein","WP_061485708.1"
"ACZ81_RS08695","gene",NA,"protein_coding","ACZ81_08695","mannitol dehydrogenase family protein","WP_061485710.1"
"ACZ81_RS08700","gene",NA,"protein_coding","ACZ81_08700","DUF3718 domain-containing protein","WP_014949240.1"
"ACZ81_RS08705","gene",NA,"protein_coding","ACZ81_08705","LysR family transcriptional regulator","WP_014949246.1"
"ACZ81_RS08710","gene",NA,"protein_coding","ACZ81_08710","MaoC family dehydratase","WP_061485712.1"
"ACZ81_RS20815","gene",NA,"protein_coding",NA,"entericidin A/B family lipoprotein","WP_014949248.1"
"ACZ81_RS08715","gene",NA,"protein_coding","ACZ81_08715","mechanosensitive ion channel family protein","WP_061485715.1"
"ACZ81_RS08720","gene",NA,"protein_coding","ACZ81_08720","TonB-dependent receptor","WP_061485717.1"
"ACZ81_RS08725","gene",NA,"protein_coding","ACZ81_08725","4a-hydroxytetrahydrobiopterin dehydratase","WP_049586648.1"
"ACZ81_RS08730","gene",NA,"tRNA","ACZ81_08730","tRNA-Met",NA
"ACZ81_RS08735","gene",NA,"tRNA","ACZ81_08735","tRNA-Met",NA
"ACZ81_RS08740","gene",NA,"tRNA","ACZ81_08740","tRNA-Met",NA
"ACZ81_RS08745","gene",NA,"protein_coding","ACZ81_08745","PAS domain S-box protein","WP_061485719.1"
"ACZ81_RS08750","gene",NA,"protein_coding","ACZ81_08750","two-component system response regulator","WP_061485721.1"
"ACZ81_RS08755","gene","rimP","protein_coding","ACZ81_08755","ribosome maturation factor RimP","WP_014949254.1"
"ACZ81_RS08760","gene","nusA","protein_coding","ACZ81_08760","transcription termination factor NusA","WP_014949255.1"
"ACZ81_RS08765","gene","infB","protein_coding","ACZ81_08765","translation initiation factor IF-2","WP_061485723.1"
"ACZ81_RS08770","gene","rbfA","protein_coding","ACZ81_08770","30S ribosome-binding factor RbfA","WP_014949257.1"
"ACZ81_RS08775","gene","truB","protein_coding","ACZ81_08775","tRNA pseudouridine(55) synthase TruB","WP_061485725.1"
"ACZ81_RS08780","gene",NA,"protein_coding","ACZ81_08780","hypothetical protein","WP_061485728.1"
"ACZ81_RS08785","gene","rpsO","protein_coding","ACZ81_08785","30S ribosomal protein S15","WP_012518257.1"
"ACZ81_RS08790","gene",NA,"protein_coding","ACZ81_08790","diguanylate cyclase","WP_232376005.1"
"ACZ81_RS08795","gene","rluF","protein_coding","ACZ81_08795","23S rRNA pseudouridine(2604) synthase RluF","WP_061485732.1"
"ACZ81_RS08800","gene",NA,"protein_coding","ACZ81_08800","hypothetical protein","WP_061485734.1"
"ACZ81_RS08805","gene",NA,"protein_coding","ACZ81_08805","bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein","WP_014949262.1"
"ACZ81_RS08810","gene",NA,"protein_coding","ACZ81_08810","2OG-Fe(II) oxygenase","WP_061485736.1"
"ACZ81_RS08815","gene",NA,"protein_coding","ACZ81_08815","response regulator","WP_061485738.1"
"ACZ81_RS08825","gene",NA,"protein_coding","ACZ81_08825","IS3 family transposase","WP_145912133.1"
"ACZ81_RS08830","gene",NA,"protein_coding","ACZ81_08830","ExeM/NucH family extracellular endonuclease","WP_061485744.1"
"ACZ81_RS21125","gene",NA,"protein_coding",NA,"DUF2252 domain-containing protein","WP_232376006.1"
"ACZ81_RS08835","gene",NA,"protein_coding","ACZ81_08835","DUF2252 domain-containing protein","WP_232376007.1"
"ACZ81_RS08840","gene","ahpC","protein_coding","ACZ81_08840","alkyl hydroperoxide reductase subunit C","WP_014949268.1"
"ACZ81_RS08845","gene","ahpF","protein_coding","ACZ81_08845","alkyl hydroperoxide reductase subunit F","WP_061485746.1"
"ACZ81_RS08850","gene",NA,"protein_coding","ACZ81_08850","TonB-dependent siderophore receptor","WP_232376008.1"
"ACZ81_RS08855","gene",NA,"protein_coding","ACZ81_08855","hypothetical protein","WP_049586664.1"
"ACZ81_RS08860","gene",NA,"protein_coding","ACZ81_08860","PepSY domain-containing protein","WP_061485747.1"
"ACZ81_RS08865","gene",NA,"protein_coding","ACZ81_08865","demethoxyubiquinone hydroxylase family protein","WP_061485748.1"
"ACZ81_RS08870","gene",NA,"protein_coding","ACZ81_08870","SMP-30/gluconolactonase/LRE family protein","WP_061485749.1"
"ACZ81_RS08875","gene",NA,"protein_coding","ACZ81_08875","S41 family peptidase","WP_061485750.1"
"ACZ81_RS08880","gene",NA,"protein_coding","ACZ81_08880","hypothetical protein","WP_061485751.1"
"ACZ81_RS08885","gene",NA,"protein_coding","ACZ81_08885","YgiQ family radical SAM protein","WP_081106082.1"
"ACZ81_RS08890","gene",NA,"protein_coding","ACZ81_08890","EVE domain-containing protein","WP_061486963.1"
"ACZ81_RS08895","gene",NA,"protein_coding","ACZ81_08895","hypothetical protein","WP_061485753.1"
"ACZ81_RS08900","gene",NA,"protein_coding","ACZ81_08900","TonB-dependent receptor","WP_061485754.1"
"ACZ81_RS08905","gene",NA,"protein_coding","ACZ81_08905","bifunctional TVP38/TMEM64 family protein/FAD-dependent oxidoreductase","WP_061485755.1"
"ACZ81_RS08910","gene",NA,"protein_coding","ACZ81_08910","DUF547 domain-containing protein","WP_061485756.1"
"ACZ81_RS08915","gene",NA,"protein_coding","ACZ81_08915","ABC transporter substrate-binding protein","WP_061485757.1"
"ACZ81_RS08920","gene",NA,"protein_coding","ACZ81_08920","hypothetical protein","WP_061485758.1"
"ACZ81_RS08925","gene",NA,"protein_coding","ACZ81_08925","ATP-binding cassette domain-containing protein","WP_014949285.1"
"ACZ81_RS08930","gene",NA,"protein_coding","ACZ81_08930","CDP-alcohol phosphatidyltransferase family protein","WP_061485759.1"
"ACZ81_RS08935","gene",NA,"protein_coding","ACZ81_08935","sterol desaturase family protein","WP_061485760.1"
"ACZ81_RS08940","gene",NA,"protein_coding","ACZ81_08940","DNA/RNA non-specific endonuclease","WP_061485761.1"
"ACZ81_RS08945","gene",NA,"protein_coding","ACZ81_08945","exopolysaccharide biosynthesis protein","WP_061485762.1"
"ACZ81_RS08950","gene",NA,"protein_coding","ACZ81_08950","diguanylate cyclase","WP_014979169.1"
"ACZ81_RS08955","gene",NA,"protein_coding","ACZ81_08955","alcohol dehydrogenase family protein","WP_061485763.1"
"ACZ81_RS08960","gene",NA,"protein_coding","ACZ81_08960","TetR/AcrR family transcriptional regulator","WP_061485764.1"
"ACZ81_RS08965","gene",NA,"protein_coding","ACZ81_08965","hypothetical protein","WP_061485765.1"
"ACZ81_RS08970","gene",NA,"protein_coding","ACZ81_08970","DUF3307 domain-containing protein","WP_061485766.1"
"ACZ81_RS08975","gene",NA,"protein_coding","ACZ81_08975","LysR family transcriptional regulator","WP_014979173.1"
"ACZ81_RS08980","gene",NA,"protein_coding","ACZ81_08980","NAD(P)H-dependent oxidoreductase","WP_061485767.1"
"ACZ81_RS21320","gene",NA,"protein_coding",NA,"hypothetical protein","WP_203229269.1"
"ACZ81_RS08985","gene",NA,"protein_coding","ACZ81_08985","hypothetical protein","WP_061485768.1"
"ACZ81_RS08990","gene",NA,"protein_coding","ACZ81_08990","IS4 family transposase","WP_061485165.1"
"ACZ81_RS08995","gene",NA,"protein_coding","ACZ81_08995","DUF4437 domain-containing protein","WP_061485769.1"
"ACZ81_RS09000","gene",NA,"protein_coding","ACZ81_09000","LysR family transcriptional regulator","WP_061485770.1"
"ACZ81_RS09005","gene",NA,"protein_coding","ACZ81_09005","TonB-dependent siderophore receptor","WP_061485771.1"
"ACZ81_RS09010","gene",NA,"protein_coding","ACZ81_09010","DUF3526 domain-containing protein","WP_061485772.1"
"ACZ81_RS09015","gene",NA,"protein_coding","ACZ81_09015","DUF3526 domain-containing protein","WP_061485773.1"
"ACZ81_RS09020","gene",NA,"protein_coding","ACZ81_09020","ABC transporter ATP-binding protein","WP_061485774.1"
"ACZ81_RS09025","gene",NA,"protein_coding","ACZ81_09025","hypothetical protein","WP_061485775.1"
"ACZ81_RS09030","gene",NA,"protein_coding","ACZ81_09030","hypothetical protein","WP_061485776.1"
"ACZ81_RS09035","gene",NA,"protein_coding","ACZ81_09035","hypothetical protein","WP_061485777.1"
"ACZ81_RS09040","gene",NA,"protein_coding","ACZ81_09040","site-specific integrase","WP_061485778.1"
"ACZ81_RS21225","gene",NA,"protein_coding",NA,"hypothetical protein","WP_158511554.1"
"ACZ81_RS09045","gene",NA,"protein_coding","ACZ81_09045","hypothetical protein","WP_061485779.1"
"ACZ81_RS09050","gene",NA,"protein_coding","ACZ81_09050","hypothetical protein","WP_061485780.1"
"ACZ81_RS21325","gene",NA,"protein_coding",NA,"SEC-C domain-containing protein","WP_081106083.1"
"ACZ81_RS09060","pseudogene",NA,"pseudogene",NA,"replication endonuclease",NA
"ACZ81_RS09065","gene",NA,"protein_coding",NA,"replication endonuclease","WP_061485783.1"
"ACZ81_RS09070","gene","ssrA","tmRNA",NA,"transfer-messenger RNA",NA
"ACZ81_RS09075","gene",NA,"protein_coding","ACZ81_09065","NADH:flavin oxidoreductase/NADH oxidase family protein","WP_014976383.1"
"ACZ81_RS09080","gene","smpB","protein_coding","ACZ81_09070","SsrA-binding protein SmpB","WP_061485784.1"
"ACZ81_RS09085","gene",NA,"protein_coding","ACZ81_09075","type II toxin-antitoxin system RatA family toxin","WP_014949308.1"
"ACZ81_RS09090","gene",NA,"protein_coding","ACZ81_09080","RnfH family protein","WP_061485785.1"
"ACZ81_RS09095","gene",NA,"protein_coding","ACZ81_09085","MarR family transcriptional regulator","WP_012518305.1"
"ACZ81_RS09100","gene","betT","protein_coding","ACZ81_09090","choline BCCT transporter BetT","WP_061485786.1"
"ACZ81_RS09105","gene",NA,"protein_coding","ACZ81_09095","TonB-dependent receptor","WP_061485787.1"
"ACZ81_RS09110","gene",NA,"protein_coding","ACZ81_09100","tetratricopeptide repeat-containing sulfotransferase family protein","WP_061485788.1"
"ACZ81_RS09115","gene",NA,"protein_coding","ACZ81_09105","hypothetical protein","WP_049586693.1"
"ACZ81_RS09120","gene",NA,"protein_coding","ACZ81_09110","hypothetical protein","WP_049586720.1"
"ACZ81_RS09125","gene",NA,"protein_coding","ACZ81_09115","kinase/pyrophosphorylase","WP_049586695.1"
"ACZ81_RS09130","gene","ppsA","protein_coding","ACZ81_09120","phosphoenolpyruvate synthase","WP_014949316.1"
"ACZ81_RS21330","gene",NA,"protein_coding","ACZ81_09125","hypothetical protein","WP_168463716.1"
"ACZ81_RS09140","gene","ltrA","protein_coding","ACZ81_09130","group II intron reverse transcriptase/maturase","WP_061485059.1"
"ACZ81_RS21230","gene",NA,"protein_coding",NA,"hypothetical protein","WP_155279892.1"
"ACZ81_RS09145","gene",NA,"protein_coding","ACZ81_09135","molybdopterin-dependent oxidoreductase","WP_061485789.1"
"ACZ81_RS09150","gene",NA,"protein_coding","ACZ81_09140","(2Fe-2S)-binding protein","WP_014976393.1"
"ACZ81_RS09155","gene",NA,"protein_coding","ACZ81_09145","tellurium resistance protein TerC","WP_061485790.1"
"ACZ81_RS09160","gene",NA,"protein_coding","ACZ81_09150","DUF4826 family protein","WP_014949321.1"
"ACZ81_RS21495","gene",NA,"protein_coding",NA,"hypothetical protein","WP_232376009.1"
"ACZ81_RS09170","gene",NA,"protein_coding","ACZ81_09160","cupin domain-containing protein","WP_039229486.1"
"ACZ81_RS09175","gene",NA,"protein_coding","ACZ81_09165","adenylate/guanylate cyclase domain-containing protein","WP_061485791.1"
"ACZ81_RS09180","gene","purB","protein_coding","ACZ81_09170","adenylosuccinate lyase","WP_061485792.1"
"ACZ81_RS09185","gene","hflD","protein_coding","ACZ81_09175","high frequency lysogenization protein HflD","WP_231506604.1"
"ACZ81_RS09190","pseudogene","mnmA","pseudogene","ACZ81_09180","tRNA 2-thiouridine(34) synthase MnmA",NA
"ACZ81_RS09195","gene",NA,"protein_coding","ACZ81_09185","rRNA large subunit pseudouridine synthase E","WP_014976399.1"
"ACZ81_RS09200","gene",NA,"protein_coding","ACZ81_09190","NADP-dependent isocitrate dehydrogenase","WP_061485794.1"
"ACZ81_RS09205","gene","cspD","protein_coding","ACZ81_09195","cold shock domain-containing protein CspD","WP_014949330.1"
"ACZ81_RS09210","gene","clpS","protein_coding","ACZ81_09200","ATP-dependent Clp protease adapter ClpS","WP_014949331.1"
"ACZ81_RS09215","gene","clpA","protein_coding","ACZ81_09205","ATP-dependent Clp protease ATP-binding subunit ClpA","WP_014949332.1"
"ACZ81_RS09220","gene","infA","protein_coding","ACZ81_09210","translation initiation factor IF-1","WP_014949333.1"
"ACZ81_RS09225","gene",NA,"protein_coding","ACZ81_09215","arginyltransferase","WP_014949334.1"
"ACZ81_RS09230","gene","aat","protein_coding","ACZ81_09220","leucyl/phenylalanyl-tRNA--protein transferase","WP_061486964.1"
"ACZ81_RS09235","gene","trxB","protein_coding","ACZ81_09225","thioredoxin-disulfide reductase","WP_014949336.1"
"ACZ81_RS09240","gene",NA,"protein_coding","ACZ81_09230","DUF412 domain-containing protein","WP_014979203.1"
"ACZ81_RS09245","gene",NA,"protein_coding","ACZ81_09235","SprT family zinc-dependent metalloprotease","WP_081106085.1"
"ACZ81_RS09250","gene","sppA","protein_coding","ACZ81_09240","signal peptide peptidase SppA","WP_061485796.1"
"ACZ81_RS09255","gene",NA,"protein_coding","ACZ81_09245","hypothetical protein","WP_014949340.1"
"ACZ81_RS09260","gene",NA,"protein_coding","ACZ81_09250","DoxX family protein","WP_061485797.1"
"ACZ81_RS09265","gene",NA,"protein_coding","ACZ81_09255","NAD(P)H nitroreductase","WP_049588695.1"
"ACZ81_RS09270","gene",NA,"protein_coding","ACZ81_09260","DUF2797 domain-containing protein","WP_081106086.1"
"ACZ81_RS09275","gene","ansA","protein_coding","ACZ81_09265","asparaginase","WP_061485799.1"
"ACZ81_RS09280","gene","lipA","protein_coding","ACZ81_09270","lipoyl synthase","WP_061485800.1"
"ACZ81_RS09285","gene","lipB","protein_coding","ACZ81_09275","lipoyl(octanoyl) transferase LipB","WP_014976409.1"
"ACZ81_RS09290","gene","ybeD","protein_coding","ACZ81_09280","DUF493 family protein YbeD","WP_014949347.1"
"ACZ81_RS09295","gene",NA,"protein_coding","ACZ81_09285","D-alanyl-D-alanine carboxypeptidase","WP_014949348.1"
"ACZ81_RS09300","gene",NA,"protein_coding","ACZ81_09290","septal ring lytic transglycosylase RlpA family protein","WP_039232694.1"
"ACZ81_RS09305","gene","rodA","protein_coding","ACZ81_09295","rod shape-determining protein RodA","WP_014949350.1"
"ACZ81_RS09310","gene","mrdA","protein_coding","ACZ81_09300","penicillin-binding protein 2","WP_039229453.1"
"ACZ81_RS09315","gene","rlmH","protein_coding","ACZ81_09305","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH","WP_014949352.1"
"ACZ81_RS09320","gene","rsfS","protein_coding","ACZ81_09310","ribosome silencing factor","WP_061485801.1"
"ACZ81_RS09325","gene","nadD","protein_coding","ACZ81_09315","nicotinate (nicotinamide) nucleotide adenylyltransferase","WP_232376010.1"
"ACZ81_RS09330","gene","holA","protein_coding","ACZ81_09320","DNA polymerase III subunit delta","WP_061485803.1"
"ACZ81_RS09335","gene","lptE","protein_coding","ACZ81_09325","LPS assembly lipoprotein LptE","WP_014976413.1"
"ACZ81_RS09340","gene","leuS","protein_coding","ACZ81_09330","leucine--tRNA ligase","WP_061485804.1"
"ACZ81_RS09345","gene",NA,"protein_coding","ACZ81_09335","hypothetical protein","WP_039229447.1"
"ACZ81_RS09350","gene",NA,"protein_coding","ACZ81_09340","ATP-binding protein","WP_061485805.1"
"ACZ81_RS09355","gene",NA,"protein_coding","ACZ81_09345","RDD family protein","WP_061485806.1"
"ACZ81_RS09360","gene",NA,"protein_coding","ACZ81_09350","hypothetical protein","WP_061485807.1"
"ACZ81_RS09365","gene",NA,"protein_coding","ACZ81_09355","3-hydroxyacyl-CoA dehydrogenase","WP_061485808.1"
"ACZ81_RS09370","gene","yhbY","protein_coding","ACZ81_09360","ribosome assembly RNA-binding protein YhbY","WP_014949363.1"
"ACZ81_RS09375","gene","rlmE","protein_coding","ACZ81_09365","23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE","WP_014949364.1"
"ACZ81_RS09380","gene","ftsH","protein_coding","ACZ81_09370","ATP-dependent zinc metalloprotease FtsH","WP_014949365.1"
"ACZ81_RS09385","gene","folP","protein_coding","ACZ81_09375","dihydropteroate synthase","WP_061485809.1"
"ACZ81_RS09390","gene","glmM","protein_coding","ACZ81_09380","phosphoglucosamine mutase","WP_061485810.1"
"ACZ81_RS09395","gene","tpiA","protein_coding","ACZ81_09385","triose-phosphate isomerase","WP_039229431.1"
"ACZ81_RS09400","gene","secG","protein_coding","ACZ81_09390","preprotein translocase subunit SecG","WP_039232721.1"
"ACZ81_RS09405","gene",NA,"tRNA","ACZ81_09395","tRNA-Leu",NA
"ACZ81_RS09410","gene",NA,"protein_coding","ACZ81_09400","EAL domain-containing protein","WP_061485811.1"
"ACZ81_RS20845","gene",NA,"protein_coding",NA,"YqaE/Pmp3 family membrane protein","WP_014949371.1"
"ACZ81_RS09415","gene",NA,"protein_coding","ACZ81_09405","hemerythrin domain-containing protein","WP_014949372.1"
"ACZ81_RS09420","gene","gdhA","protein_coding","ACZ81_09410","NADP-specific glutamate dehydrogenase","WP_061485812.1"
"ACZ81_RS09425","gene",NA,"protein_coding","ACZ81_09415","dual specificity protein phosphatase family protein","WP_061485813.1"
"ACZ81_RS09430","gene",NA,"protein_coding","ACZ81_09420","DUF2878 domain-containing protein","WP_061485814.1"
"ACZ81_RS09435","gene",NA,"protein_coding","ACZ81_09425","SDR family NAD(P)-dependent oxidoreductase","WP_014976474.1"
"ACZ81_RS09440","gene",NA,"protein_coding","ACZ81_09430","HAD-IIB family hydrolase","WP_061485815.1"
"ACZ81_RS09445","gene",NA,"protein_coding","ACZ81_09435","hypothetical protein","WP_039229403.1"
"ACZ81_RS09450","gene",NA,"protein_coding","ACZ81_09440","DNA topoisomerase IB","WP_061485816.1"
"ACZ81_RS09455","gene","putP","protein_coding","ACZ81_09445","sodium/proline symporter PutP","WP_061486965.1"
"ACZ81_RS09460","gene","proB","protein_coding","ACZ81_09450","glutamate 5-kinase","WP_014949381.1"
"ACZ81_RS09465","gene",NA,"protein_coding","ACZ81_09455","glutamate-5-semialdehyde dehydrogenase","WP_061485817.1"
"ACZ81_RS09470","gene",NA,"protein_coding","ACZ81_09460","mechanosensitive ion channel family protein","WP_039229391.1"
"ACZ81_RS09475","gene",NA,"protein_coding","ACZ81_09465","HNH endonuclease","WP_014949384.1"
"ACZ81_RS09480","gene","pnp","protein_coding","ACZ81_09470","polyribonucleotide nucleotidyltransferase","WP_061486966.1"
"ACZ81_RS09485","gene",NA,"protein_coding","ACZ81_09475","DUF1244 domain-containing protein","WP_061485818.1"
"ACZ81_RS21335","gene",NA,"protein_coding","ACZ81_09480","hypothetical protein","WP_168463716.1"
"ACZ81_RS09495","gene","ltrA","protein_coding","ACZ81_09485","group II intron reverse transcriptase/maturase","WP_061485819.1"
"ACZ81_RS09500","gene",NA,"protein_coding","ACZ81_09490","hypothetical protein","WP_232376011.1"
"ACZ81_RS09505","gene","ltrA","protein_coding","ACZ81_09495","group II intron reverse transcriptase/maturase","WP_061485820.1"
"ACZ81_RS09510","gene",NA,"protein_coding","ACZ81_09500","hypothetical protein","WP_061485821.1"
"ACZ81_RS09515","gene",NA,"protein_coding",NA,"hypothetical protein","WP_061485822.1"
"ACZ81_RS09520","gene",NA,"protein_coding","ACZ81_09510","DUF262 domain-containing protein","WP_061485823.1"
"ACZ81_RS09525","gene",NA,"protein_coding","ACZ81_09515","hypothetical protein","WP_061485824.1"
"ACZ81_RS09530","gene",NA,"protein_coding","ACZ81_09520","hypothetical protein","WP_061485825.1"
"ACZ81_RS09535","gene",NA,"protein_coding","ACZ81_09525","acyltransferase","WP_061485826.1"
"ACZ81_RS09540","gene",NA,"protein_coding","ACZ81_09530","hypothetical protein","WP_061485827.1"
"ACZ81_RS09545","gene",NA,"protein_coding","ACZ81_09535","shikimate kinase","WP_061485828.1"
"ACZ81_RS09550","gene",NA,"protein_coding","ACZ81_09540","hypothetical protein","WP_061485829.1"
"ACZ81_RS09555","gene",NA,"protein_coding","ACZ81_09545","serine hydrolase","WP_061485830.1"
"ACZ81_RS21340","gene",NA,"protein_coding","ACZ81_09550","hypothetical protein","WP_061485831.1"
"ACZ81_RS09565","gene",NA,"protein_coding","ACZ81_09555","MAPEG family protein","WP_061485832.1"
"ACZ81_RS09570","gene",NA,"protein_coding","ACZ81_09560","hypothetical protein","WP_061485833.1"
"ACZ81_RS09575","gene",NA,"protein_coding","ACZ81_09565","hypothetical protein","WP_061485834.1"
"ACZ81_RS09580","gene",NA,"protein_coding","ACZ81_09570","hypothetical protein","WP_061485835.1"
"ACZ81_RS09585","gene",NA,"protein_coding","ACZ81_09575","hypothetical protein","WP_061485836.1"
"ACZ81_RS09590","gene",NA,"protein_coding","ACZ81_09580","hypothetical protein","WP_061485837.1"
"ACZ81_RS09595","gene","istA","protein_coding","ACZ81_09585","IS21 family transposase","WP_039221975.1"
"ACZ81_RS09600","gene","istB","protein_coding","ACZ81_09590","IS21-like element helper ATPase IstB","WP_039221977.1"
"ACZ81_RS09605","gene",NA,"protein_coding","ACZ81_09595","MFS transporter","WP_061485838.1"
"ACZ81_RS09610","gene","istB","protein_coding","ACZ81_09600","IS21-like element helper ATPase IstB","WP_061485839.1"
"ACZ81_RS09615","gene","istA","protein_coding","ACZ81_09605","IS21 family transposase","WP_061485840.1"
"ACZ81_RS09620","gene",NA,"protein_coding","ACZ81_09610","MFS transporter","WP_232376012.1"
"ACZ81_RS09625","gene",NA,"protein_coding","ACZ81_09615","M14 family metallopeptidase","WP_232376013.1"
"ACZ81_RS21345","gene",NA,"protein_coding",NA,"hypothetical protein","WP_014979255.1"
"ACZ81_RS09630","gene",NA,"protein_coding","ACZ81_09620","energy transducer TonB","WP_061485841.1"
"ACZ81_RS09635","gene",NA,"protein_coding","ACZ81_09625","RNA polymerase sigma factor","WP_061485842.1"
"ACZ81_RS09640","gene",NA,"protein_coding","ACZ81_09630","hypothetical protein","WP_061485843.1"
"ACZ81_RS09645","gene","cdd","protein_coding","ACZ81_09635","cytidine deaminase","WP_232376014.1"
"ACZ81_RS09650","gene","nlpI","protein_coding","ACZ81_09640","lipoprotein NlpI","WP_014949420.1"
"ACZ81_RS09655","gene",NA,"protein_coding","ACZ81_09645","sel1 repeat family protein","WP_061485844.1"
"ACZ81_RS09660","gene","cysZ","protein_coding","ACZ81_09650","sulfate transporter CysZ","WP_014979262.1"
"ACZ81_RS09665","gene","smc","protein_coding","ACZ81_09655","chromosome segregation protein SMC","WP_061485845.1"
"ACZ81_RS09670","gene","zipA","protein_coding","ACZ81_09660","cell division protein ZipA","WP_061485846.1"
"ACZ81_RS09675","gene","ligA","protein_coding","ACZ81_09665","NAD-dependent DNA ligase LigA","WP_061485847.1"
"ACZ81_RS09680","gene",NA,"protein_coding","ACZ81_09670","DUF2062 domain-containing protein","WP_014949426.1"
"ACZ81_RS09685","gene",NA,"protein_coding","ACZ81_09675","DNA internalization-related competence protein ComEC/Rec2","WP_061485848.1"
"ACZ81_RS09690","gene","msbA","protein_coding","ACZ81_09680","lipid A export permease/ATP-binding protein MsbA","WP_014976526.1"
"ACZ81_RS09695","gene","lpxK","protein_coding","ACZ81_09685","tetraacyldisaccharide 4'-kinase","WP_061485849.1"
